x_value,total_1,total_2
0,1000,1000
1,994,1006
2,995,1008
3,1000,1005
4,1003,1007
5,1007,1003
6,1002,1002
7,1005,1003
8,1011,1004
9,1012,1009
10,1015,1007
11,1017,1010
12,1011,1008
13,1007,1012
14,1003,1007
15,997,1005
16,1004,1009
17,1011,1006
18,1019,1001
19,1027,997
20,1026,1001
21,1029,1007
22,1033,1009
23,1032,1005
24,1036,1000
25,1040,999
26,1045,996
27,1053,999
28,1053,1005
29,1058,1005
30,1066,1005
31,1072,1002
32,1068,1007
33,1067,1011
34,1067,1016
35,1062,1021
36,1065,1027
37,1066,1029
38,1071,1027
39,1067,1029
40,1075,1024
41,1080,1028
42,1086,1026
43,1086,1031
44,1091,1026
45,1097,1028
46,1103,1032
47,1109,1027
48,1108,1023
49,1111,1020
50,1111,1020
51,1114,1021
52,1117,1024
53,1118,1027
54,1117,1032
55,1122,1027
56,1123,1032
57,1121,1031
58,1127,1032
59,1128,1035
60,1134,1031
61,1129,1027
62,1137,1033
63,1141,1033
64,1143,1039
65,1144,1042
66,1147,1047
67,1151,1046
68,1155,1049
69,1151,1055
70,1149,1059
71,1154,1058
72,1155,1064
73,1149,1063
74,1150,1069
75,1148,1070
76,1154,1068
77,1159,1074
78,1161,1076
79,1161,1073
80,1156,1076
81,1150,1071
82,1145,1069
83,1144,1075
84,1146,1073
85,1143,1078
86,1141,1073
87,1135,1071
88,1131,1068
89,1131,1065
